id,fake,real
TEST_00000,1.5189105290474678e-19,1.0
TEST_00001,4.380491237823106e-16,1.0
TEST_00002,1.575749027090247e-23,1.0
TEST_00003,9.273541170271103e-15,1.0
TEST_00004,7.090144238784584e-23,1.0
TEST_00005,4.036632703862343e-18,1.0
TEST_00006,0.0,0.0
TEST_00007,3.030868928163854e-21,1.0
TEST_00008,8.476560924529364e-14,1.0
TEST_00009,1.7866931659119824e-18,1.0
TEST_00010,3.550006753587924e-21,1.0
TEST_00011,1.1320066771642303e-17,1.0
TEST_00012,6.710936161977415e-18,1.0
TEST_00013,3.761020259662737e-18,1.0
TEST_00014,3.0923283623735434e-17,1.0
TEST_00015,1.1633186214990917e-20,1.0
TEST_00016,7.428628776971011e-21,1.0
TEST_00017,7.177700145420069e-20,1.0
TEST_00018,8.631103237777135e-23,1.0
TEST_00019,1.0370179705481321e-17,1.0
TEST_00020,2.1554744780210394e-19,1.0
TEST_00021,1.568749355195797e-16,1.0
TEST_00022,5.708370305301147e-19,1.0
TEST_00023,1.863228747396764e-22,1.0
TEST_00024,1.6251935159649536e-21,1.0
TEST_00025,9.086522160227896e-20,1.0
TEST_00026,2.21101157014037e-21,1.0
TEST_00027,1.4561014069838785e-12,1.0
TEST_00028,2.2199555332150207e-19,1.0
TEST_00029,8.797485059362694e-21,1.0
TEST_00030,1.7540288788570597e-17,1.0
TEST_00031,7.957569379278366e-22,1.0
TEST_00032,3.674200894758729e-20,1.0
TEST_00033,4.311678942932657e-21,1.0
TEST_00034,1.2123018501496525e-21,1.0
TEST_00035,1.3368397785690267e-18,1.0
TEST_00036,1.119840309107588e-22,1.0
TEST_00037,8.22839045248118e-21,1.0
TEST_00038,3.346602121070433e-25,1.0
TEST_00039,1.0135638911610778e-24,1.0
TEST_00040,0.0,0.0
TEST_00041,7.91130482697236e-26,1.0
TEST_00042,4.960733067035834e-25,1.0
TEST_00043,5.73101200407808e-29,1.0
TEST_00044,2.969720570733152e-20,1.0
TEST_00045,1.344037794399538e-20,1.0
TEST_00046,8.05640818814235e-15,1.0
TEST_00047,1.7954916469808132e-20,1.0
TEST_00048,6.674057093079737e-22,1.0
TEST_00049,1.406017760328915e-26,1.0
TEST_00050,3.7837573867502885e-18,1.0
TEST_00051,1.0187295991557105e-19,1.0
TEST_00052,1.1645906136149853e-13,1.0
TEST_00053,2.9386702726991783e-15,1.0
TEST_00054,8.13785584058424e-12,1.0
TEST_00055,4.896188545205237e-19,1.0
TEST_00056,0.0,0.0
TEST_00057,0.0,0.0
TEST_00058,6.968435622883465e-23,1.0
TEST_00059,1.4983050660440051e-16,1.0
TEST_00060,1.1515240080643581e-23,1.0
TEST_00061,0.0,0.0
TEST_00062,4.1656961303448014e-23,1.0
TEST_00063,4.1055896625323916e-23,1.0
TEST_00064,6.074795470939353e-25,1.0
TEST_00065,1.8850139150092182e-20,1.0
TEST_00066,3.7528416735206777e-23,1.0
TEST_00067,1.0751243615711025e-17,1.0
TEST_00068,3.875983889146888e-18,1.0
